Summary,Issue Type,Priority,Story Points,Epic Link,Assignee,Reporter,Sprint,Description
[CMT-3] Delete Own Comment,Story,High,1,EPIC-3,,,Sprint 2,"User can delete their comment. AC: DELETE /api/comments/:id, removed from UI instantly"
[CMT-4] Edit Comment,Story,Medium,2,EPIC-3,,,Sprint 3,"User can edit their comment text. AC: PATCH /api/comments/:id, edited label shown"
[CMT-5] Reply to Comment (Nested),Story,Medium,3,EPIC-3,,,Sprint 3,"User can reply to a comment. AC: parentId field, replies nested under parent, expandable"
[CMT-6] React to Comment,Story,Medium,2,EPIC-3,,,Sprint 3,"User can like/react to a comment. AC: POST /api/comments/:id/react, count shown"
[CMT-7] Comment Count on PostCard,Task,Medium,1,EPIC-3,,,Sprint 2,"PostCard shows total comment count. AC: count from Firestore aggregation, updates on new comment"
[CMT-8] Tag User in Comment,Story,Low,2,EPIC-3,,,Sprint 4,"User can @mention someone in comment. AC: autocomplete friends list, tagged user notified"
[CMT-9] Load More Comments (Pagination),Task,Medium,2,EPIC-3,,,Sprint 3,"Show first 3 comments, Load more button. AC: cursor pagination, smooth append"
[CMT-10] Comment Moderation (Report),Story,Low,1,EPIC-3,,,Sprint 5,"User can report a comment. AC: report saved, toast confirmation"
[FRD-1] Send Friend Request,Story,High,2,EPIC-4,,,Sprint 1,"User can send friend request. AC: POST /api/friends/requests, optimistic UI adds to Sent tab"
[FRD-2] Cancel Sent Friend Request,Story,High,1,EPIC-4,,,Sprint 1,"User can cancel pending sent request. AC: DELETE /api/friends/requests/:id, removed from Sent tab instantly"
[FRD-3] Accept Friend Request,Story,High,2,EPIC-4,,,Sprint 2,"User can accept incoming request. AC: PATCH /api/friends/requests/:id/accept, both users added to friends collection"
[FRD-4] Reject Friend Request,Story,High,1,EPIC-4,,,Sprint 2,"User can reject incoming request. AC: DELETE /api/friends/requests/:id, removed from Received tab"
[FRD-5] List All Friends,Story,High,2,EPIC-4,,,Sprint 2,"User sees list of all friends. AC: GET /api/friends, paginated, shows avatar/name"
[FRD-6] Unfriend,Story,Medium,2,EPIC-4,,,Sprint 2,"User can unfriend someone. AC: DELETE /api/friends/:uid, removed from both users lists"
[FRD-7] Friend Suggestions,Story,Medium,3,EPIC-4,,,Sprint 2,"Show suggested friends (FOAF - friends of friends). AC: GET /api/friends/suggestions, ranked by mutual count"
[FRD-8] Mutual Friends Count,Story,Medium,2,EPIC-4,,,Sprint 3,"Show mutual friend count on suggestion cards. AC: computed server-side, shown below name"
[FRD-9] Received Friend Requests Tab,Story,High,2,EPIC-4,,,Sprint 1,"Separate tab showing incoming requests. AC: GET /api/friends/requests, accept/reject actions"
[FRD-10] Sent Friend Requests Tab,Story,High,2,EPIC-4,,,Sprint 1,"Separate tab showing sent requests. AC: GET /api/friends/sent, cancel action, optimistic update"
[FRD-11] Search Friends,Story,Medium,2,EPIC-4,,,Sprint 2,"Search bar filters friend list. AC: client-side filter by name, debounced"
[FRD-12] Block User,Story,Medium,2,EPIC-4,,,Sprint 3,"User can block another user. AC: POST /api/users/:uid/block, blocked user removed from search/suggestions"
[FRD-13] Unblock User,Story,Medium,1,EPIC-4,,,Sprint 3,"User can unblock. AC: DELETE /api/users/:uid/block, user reappears in search"
[FRD-14] Friends Birthday Section,Story,Low,2,EPIC-4,,,Sprint 4,"Show friends with birthday today/this week. AC: query Firestore by birthday field, sorted by date"
[FRD-15] Friend Activity Indicator (Online),Story,Low,2,EPIC-4,,,Sprint 4,"Show online/offline status on friend cards. AC: Socket.io presence via onlineUsers map"
[FRD-16] Friend Request Notification Badge,Story,Medium,2,EPIC-4,,,Sprint 3,"Navigation shows unread request count. AC: real-time badge updates via socket"
[PRF-1] View Own Profile Page,Story,High,3,EPIC-5,,,Sprint 2,"User can view their own profile. AC: profile page shows avatar, cover, bio, friends count, posts"
[PRF-2] View Other User Profile,Story,High,2,EPIC-5,,,Sprint 2,"User can visit another user's profile. AC: route /profile/:uid, shows public info"
[PRF-3] Edit Profile Info,Story,High,3,EPIC-5,,,Sprint 2,"User can edit name, bio, location, birthday, website. AC: PATCH /api/users/:uid/profile, Firestore updated"
[PRF-4] Upload Profile Avatar,Story,High,2,EPIC-5,,,Sprint 2,"User can upload/change profile picture. AC: Cloudinary upload, avatarUrl saved in Firestore"
[PRF-5] Upload Cover Photo,Story,Medium,2,EPIC-5,,,Sprint 2,"User can upload cover photo. AC: Cloudinary upload, coverUrl saved"
[PRF-6] Profile Posts Tab,Story,High,2,EPIC-5,,,Sprint 3,"Profile page shows user's posts in chronological order. AC: GET /api/users/:uid/posts"
[PRF-7] Profile Photos Tab,Story,Medium,2,EPIC-5,,,Sprint 3,"Profile shows all photos from posts. AC: GET /api/users/:uid/media, grid layout"
[PRF-8] Profile Friends Tab,Story,Medium,2,EPIC-5,,,Sprint 3,"Profile shows user's friends list. AC: GET /api/friends/list/:uid, shows avatars + names"
[PRF-9] Profile Completion Bar,Story,Low,2,EPIC-5,,,Sprint 4,"Show profile completeness %. AC: check required fields, progress bar shows what's missing"
[PRF-10] Follow / Unfollow (Public Profiles),Story,Low,3,EPIC-5,,,Sprint 5,"Public profiles can be followed without friending. AC: POST /api/users/:uid/follow, follower count shown"
[PRF-11] Profile Privacy Settings,Story,Medium,2,EPIC-5,,,Sprint 3,"Control who sees posts/friends/photos. AC: privacySettings field, feed/profile queries respect settings"
[PRF-12] Saved Posts Tab on Profile,Story,Low,2,EPIC-5,,,Sprint 4,"Profile shows posts user has saved/bookmarked. AC: GET /api/users/saved-posts, only visible to self"
[PRF-13] Work & Education Info,Story,Low,2,EPIC-5,,,Sprint 4,"User can add work history and education. AC: workHistory[] and education[] arrays in Firestore"
[PRF-14] Profile Activity History,Story,Low,2,EPIC-5,,,Sprint 5,"User sees their activity log (posts, reactions, comments). AC: paginated GET /api/users/activity"
[RT-1] Socket.io Server Setup,Task,High,3,EPIC-6,,,Sprint 1,"Initialize Socket.io on Express server. AC: CORS configured for client origin, JWT auth on connection"
[RT-2] Socket.io Client Connection,Task,High,2,EPIC-6,,,Sprint 1,"Frontend connects to socket server on login. AC: socket.ts connects with token, reconnects on auth change"
[RT-3] Real-time Post Reactions,Story,Medium,3,EPIC-6,,,Sprint 3,"Reaction counts update in real-time across clients. AC: server emits post:reacted event, feed updates count"
[RT-4] Real-time New Comment,Story,Medium,3,EPIC-6,,,Sprint 3,"New comments appear in real-time. AC: server emits comment:new event to users viewing the post"
[RT-5] Real-time Friend Request Notification,Story,High,2,EPIC-6,,,Sprint 3,"User is notified instantly when someone sends a request. AC: socket event friend:request, toast shown"
[RT-6] Notification Bell Component,Story,High,3,EPIC-6,,,Sprint 3,"Header shows bell icon with unread count badge. AC: clicking opens notification dropdown list"
[RT-7] Notification List API,Story,High,3,EPIC-6,,,Sprint 3,"GET /api/notifications returns user notifications. AC: paginated, includes type/actor/entity/read status"
[RT-8] Mark Notification as Read,Story,Medium,1,EPIC-6,,,Sprint 3,"PATCH /api/notifications/:id/read. AC: isRead set to true, badge count decremented"
[RT-9] Mark All Notifications Read,Story,Medium,1,EPIC-6,,,Sprint 3,"PATCH /api/notifications/read-all. AC: all isRead set to true, badge resets to 0"
[RT-10] Online Presence Tracking,Story,Medium,3,EPIC-6,,,Sprint 4,"Track which users are online. AC: socket connect/disconnect updates onlineUsers map, friends see green dot"
[RT-11] Real-time New Post in Feed,Story,Low,3,EPIC-6,,,Sprint 4,"'New posts available' banner appears when friend posts. AC: socket event post:new, click to refresh feed"
[RT-12] Push Notifications (Web),Story,Low,5,EPIC-6,,,Sprint 5,"Browser push notifications via Firebase Cloud Messaging. AC: permission request, notifications received when tab not focused"
[RT-13] Notification Types,Task,Medium,2,EPIC-6,,,Sprint 3,"Define notification types: friend_request, friend_accept, post_reaction, comment, mention, share. Stored in Firestore with icon mapping"
[RT-14] Real-time Message Badge,Story,Medium,2,EPIC-6,,,Sprint 4,"Chat icon shows unread message count, updates in real-time. AC: badge matches /api/messages/unread-count"
[VID-1] Short Video Upload API,Story,High,3,EPIC-7,,,Sprint 3,"POST /api/videos endpoint. AC: Cloudinary video upload, metadata saved in Firestore"
[VID-2] Short Video Feed API,Story,High,2,EPIC-7,,,Sprint 3,"GET /api/videos returns paginated vertical video feed. AC: ordered by createdAt desc"
[VID-3] Video Player Component,Story,High,3,EPIC-7,,,Sprint 3,"Full-screen vertical video player. AC: auto-play on scroll into view, mute toggle, loop"
[VID-4] Upload Short Video UI,Story,High,3,EPIC-7,,,Sprint 4,"Upload button opens file picker, shows progress bar, saves metadata."
[VID-5] React to Video (Like),Story,Medium,2,EPIC-7,,,Sprint 4,"POST /api/videos/:id/react. AC: heart animation, count updated"
[VID-6] Comment on Video,Story,Medium,3,EPIC-7,,,Sprint 4,"Comments panel slides up on video. AC: POST /api/videos/:id/comments, real-time updates"
[VID-7] Share Video,Story,Medium,2,EPIC-7,,,Sprint 4,"Share button copies link or shares to feed. AC: POST /api/videos/:id/share"
[VID-8] Video Discovery / For You Page,Story,Medium,3,EPIC-7,,,Sprint 5,"Algorithm serves videos based on watch history and tags. AC: backend scoring, GET /api/videos/foryou"
[VID-9] Video Hashtags,Story,Low,2,EPIC-7,,,Sprint 5,"User can add hashtags to video. AC: tags[] saved, GET /api/videos?tag=x filter works"
[VID-10] Video View Count,Story,Low,1,EPIC-7,,,Sprint 5,"Track video views. AC: POST /api/videos/:id/view, viewCount shown below video"
[VID-11] Delete Own Video,Story,Medium,1,EPIC-7,,,Sprint 4,"User can delete their video. AC: Cloudinary destroy + Firestore delete"
[VID-12] Video Caption / Description,Story,Medium,1,EPIC-7,,,Sprint 4,"Video has caption field shown below video. AC: text with hashtag/mention parsing"
[GRP-1] Create Group,Story,High,3,EPIC-8,,,Sprint 3,"POST /api/groups. AC: name, description, cover image, public/private setting"
[GRP-2] List Groups (Discover),Story,High,2,EPIC-8,,,Sprint 3,"GET /api/groups returns public groups. AC: search by name, filter by category"
[GRP-3] Join Group,Story,High,2,EPIC-8,,,Sprint 3,"POST /api/groups/:id/join. AC: member added, notification to admin, pending if private"
[GRP-4] Leave Group,Story,Medium,1,EPIC-8,,,Sprint 4,"DELETE /api/groups/:id/leave. AC: removed from members list"
[GRP-5] Group Feed / Posts,Story,High,3,EPIC-8,,,Sprint 4,"Group has its own post feed. AC: POST/GET /api/groups/:id/posts, only members can post"
[GRP-6] Group Members List,Story,Medium,2,EPIC-8,,,Sprint 4,"GET /api/groups/:id/members. AC: list with roles (admin/moderator/member)"
[GRP-7] Group Admin - Remove Member,Story,Medium,2,EPIC-8,,,Sprint 4,"Admin can remove a member. AC: DELETE /api/groups/:id/members/:uid"
[GRP-8] Group Admin - Edit Group Info,Story,Medium,2,EPIC-8,,,Sprint 4,"Admin can edit group name/description/cover. AC: PATCH /api/groups/:id"
[GRP-9] Group Invite Friends,Story,Medium,2,EPIC-8,,,Sprint 4,"Member can invite friends to group. AC: POST /api/groups/:id/invite, notification sent"
[GRP-10] Group Admin - Approve Join Requests,Story,Medium,2,EPIC-8,,,Sprint 5,"Admin sees pending join requests. AC: GET /api/groups/:id/requests, approve/reject actions"
[GRP-11] Group Notifications,Story,Low,2,EPIC-8,,,Sprint 5,"Members notified of new posts in group. AC: notification created, bell shows new activity"
[GRP-12] Group Cover Photo Upload,Story,Low,1,EPIC-8,,,Sprint 4,"Admin can upload group cover. AC: Cloudinary upload, coverUrl saved"
[GRP-13] My Groups Page,Story,Medium,2,EPIC-8,,,Sprint 4,"User sees groups they belong to. AC: GET /api/groups/mine, card grid layout"
[MKT-1] Create Marketplace Listing,Story,High,3,EPIC-9,,,Sprint 4,"POST /api/market. AC: title, price, description, category, images, location"
[MKT-2] View Marketplace Listings,Story,High,2,EPIC-9,,,Sprint 4,"GET /api/market returns paginated listings. AC: filter by category, location, price range"
[MKT-3] View Listing Detail,Story,High,2,EPIC-9,,,Sprint 4,"GET /api/market/:id returns full listing. AC: shows all images, seller info, condition"
[MKT-4] Edit Own Listing,Story,Medium,2,EPIC-9,,,Sprint 4,"Seller can edit listing. AC: PATCH /api/market/:id, only owner can edit"
[MKT-5] Delete Own Listing,Story,Medium,1,EPIC-9,,,Sprint 4,"Seller can delete listing. AC: DELETE /api/market/:id, images removed from Cloudinary"
[MKT-6] Mark Listing as Sold,Story,Medium,1,EPIC-9,,,Sprint 5,"Seller marks item as sold. AC: PATCH /api/market/:id/sell, status=sold shown on card"
[MKT-7] Contact Seller (via Chat),Story,Medium,2,EPIC-9,,,Sprint 5,"'Message Seller' button opens DM chat. AC: creates conversation if none exists, navigates to chat"
[MKT-8] Save/Bookmark Listing,Story,Low,1,EPIC-9,,,Sprint 5,"User can save a listing. AC: POST /api/market/:id/save, accessible from profile saved tab"
[MKT-9] Marketplace Search,Story,Medium,2,EPIC-9,,,Sprint 5,"Search listings by keyword. AC: GET /api/market?q=keyword, title/description indexed"
[MKT-10] Marketplace Categories,Task,Medium,2,EPIC-9,,,Sprint 4,"Predefined categories: Electronics, Fashion, Vehicles, Property, etc. Seed data and filter UI"
[MKT-11] Listing Image Upload,Story,High,2,EPIC-9,,,Sprint 4,"Seller uploads up to 5 images. AC: Cloudinary multi-upload, images array saved"
[MKT-12] Report Listing,Story,Low,1,EPIC-9,,,Sprint 6,"User can report inappropriate listing. AC: report reason saved, toast confirmation"
[MSG-1] Create Conversation / DM,Story,High,3,EPIC-10,,,Sprint 3,"POST /api/conversations. AC: find-or-create conversation between 2 users"
[MSG-2] List Conversations,Story,High,2,EPIC-10,,,Sprint 3,"GET /api/conversations returns user's chats sorted by lastMessageAt. AC: shows avatar, name, last message preview"
[MSG-3] Send Message,Story,High,3,EPIC-10,,,Sprint 3,"POST /api/conversations/:id/messages. AC: text message saved, socket emits to recipient"
[MSG-4] Real-time Message Delivery,Story,High,3,EPIC-10,,,Sprint 3,"Messages appear instantly without refresh. AC: socket event message:new, conversation list reorders"
[MSG-5] Message Read Receipts,Story,Medium,2,EPIC-10,,,Sprint 4,"Show 'Seen' when recipient reads message. AC: PATCH /api/messages/:id/read, socket emits read event"
[MSG-6] Send Image in Chat,Story,Medium,2,EPIC-10,,,Sprint 4,"User can send image in DM. AC: Cloudinary upload, imageUrl saved in message"
[MSG-7] Typing Indicator,Story,Medium,2,EPIC-10,,,Sprint 4,"Show '...' when other user is typing. AC: socket event typing:start/stop, auto-clear after 3s"
[MSG-8] Message Notification Badge,Story,High,2,EPIC-10,,,Sprint 3,"Nav shows unread message count. AC: badge from /api/conversations/unread-count, real-time via socket"
[MSG-9] Delete Message (for self),Story,Medium,1,EPIC-10,,,Sprint 4,"User can delete sent message for themselves. AC: message hidden from their view"
[MSG-10] Group Chat,Story,Low,5,EPIC-10,,,Sprint 5,"Create group chat with multiple users. AC: POST /api/conversations with participants[], group name"
[MSG-11] Emoji Reactions on Messages,Story,Low,2,EPIC-10,,,Sprint 5,"React to a message with emoji. AC: reactions array on message doc, shown below message"
[MSG-12] Search Messages,Story,Low,2,EPIC-10,,,Sprint 6,"Search within a conversation. AC: GET /api/conversations/:id/messages?q=text"
[SET-1] Account Settings Page,Story,High,2,EPIC-11,,,Sprint 3,"Settings page with sections: Account, Privacy, Notifications, Appearance. AC: sidebar navigation"
[SET-2] Dark Mode Toggle,Story,High,2,EPIC-11,,,Sprint 2,"User can toggle dark/light mode. AC: themeStore persists preference to localStorage, Tailwind dark class applied"
[SET-3] Notification Preferences,Story,Medium,2,EPIC-11,,,Sprint 4,"User can enable/disable notification types. AC: notificationPrefs field in Firestore, backend checks before creating notification"
[SET-4] Privacy - Who Can See Posts Default,Story,Medium,2,EPIC-11,,,Sprint 4,"Set default post privacy. AC: defaultPostPrivacy field, CreatePost pre-selects this value"
[SET-5] Privacy - Who Can Send Friend Requests,Story,Medium,1,EPIC-11,,,Sprint 4,"Setting: Everyone / Friends of Friends only. AC: friend request API checks this setting"
[SET-6] Privacy - Who Can See Friends List,Story,Low,1,EPIC-11,,,Sprint 5,"Profile privacy: public friends list vs hidden. AC: profile API respects privacySettings.friendsVisible"
[SET-7] Language Setting,Story,Low,1,EPIC-11,,,Sprint 5,"User can set UI language (EN/VI). AC: i18n store, all labels translated"
[SET-8] Deactivate Account,Story,Low,2,EPIC-11,,,Sprint 6,"Temporarily deactivate account (not delete). AC: isActive=false, user cannot login, reactivate via email"
[SET-9] Active Sessions / Devices,Story,Low,2,EPIC-11,,,Sprint 6,"Show active login sessions. AC: sessions tracked in Firestore, revoke from list"
[SET-10] Help & Support Page,Story,Low,1,EPIC-11,,,Sprint 5,"Static help page with FAQ accordion and contact form. AC: contact form submits to backend email"
[INF-1] Firebase Project Setup,Task,High,2,EPIC-12,,,Sprint 1,"Configure Firebase project: Auth, Firestore, Storage. AC: security rules written, indexes defined"
[INF-2] Firestore Security Rules,Task,High,3,EPIC-12,,,Sprint 1,"Write Firestore rules: users can only read/write their own data, public profiles readable. AC: rules tested with emulator"
[INF-3] Environment Variables Management,Task,High,2,EPIC-12,,,Sprint 1,"All secrets in .env files. AC: .env in .gitignore, .env.example committed, serviceAccountKey.json in .gitignore"
[INF-4] ESLint + Prettier Setup,Task,Medium,1,EPIC-12,,,Sprint 1,"Configure linting and formatting. AC: pre-commit hook via husky, CI fails on lint errors"
[INF-5] Backend Deployment (Railway/Render),Task,High,3,EPIC-12,,,Sprint 2,"Deploy Express server. AC: environment variables set, health check endpoint /api/health responds 200"
[INF-6] Frontend Deployment (Firebase Hosting),Task,High,2,EPIC-12,,,Sprint 2,"Deploy Vite app. AC: firebase deploy, custom domain configured"
[INF-7] CI/CD Pipeline (GitHub Actions),Task,Medium,3,EPIC-12,,,Sprint 2,"Auto deploy on merge to main. AC: lint → test → build → deploy pipeline"
[INF-8] Cloudinary Configuration,Task,High,2,EPIC-12,,,Sprint 2,"Set up Cloudinary account, upload presets, CORS. AC: unsigned upload preset, storage limits configured"
[INF-9] Firebase Storage CORS Setup,Task,Medium,1,EPIC-12,,,Sprint 1,"Configure CORS for Firebase Storage bucket. AC: cors.json applied via gsutil"
[INF-10] Error Monitoring (Sentry),Task,Low,2,EPIC-12,,,Sprint 5,"Integrate Sentry in frontend and backend. AC: errors captured with user context, alerts configured"
[INF-11] API Rate Limiting,Task,Medium,2,EPIC-12,,,Sprint 3,"Apply express-rate-limit globally and per route. AC: 100 req/15min general, stricter on auth routes"
[INF-12] Logging (Winston/Morgan),Task,Medium,1,EPIC-12,,,Sprint 3,"HTTP request logging and error logging. AC: Morgan logs requests, Winston logs errors with stack traces"
[INF-13] Database Indexes (Firestore),Task,High,2,EPIC-12,,,Sprint 2,"Define composite indexes in firestore.indexes.json for all query patterns. AC: no missing index errors"
[INF-14] Image Optimization,Task,Medium,2,EPIC-12,,,Sprint 4,"Cloudinary auto-format and quality on all image URLs. AC: f_auto,q_auto transformations applied"
[INF-15] Health Check Endpoint,Task,Low,1,EPIC-12,,,Sprint 1,"GET /api/health returns { status: ok, timestamp }. AC: monitoring service pings every 5 min"
[LIVE-1] Live Streaming Architecture Design,Story,Low,5,EPIC-13,,,Sprint 5,"Design WebRTC or RTMP-based live streaming. AC: technical spec document, provider chosen (Agora/Daily.co)"
[LIVE-2] Go Live Button,Story,Low,3,EPIC-13,,,Sprint 5,"User can start a live stream. AC: permission request for camera/mic, stream session created"
[LIVE-3] Live Stream Viewer,Story,Low,3,EPIC-13,,,Sprint 5,"Other users can watch live stream. AC: join stream by ID, real-time video, viewer count shown"
[LIVE-4] Live Stream Comments,Story,Low,2,EPIC-13,,,Sprint 6,"Viewers can comment during live stream. AC: socket events, comments scroll in real-time"
[LIVE-5] Live Stream Reactions,Story,Low,2,EPIC-13,,,Sprint 6,"Viewers send reactions during live. AC: floating emoji animations, reaction count"
[LIVE-6] Event Creation,Story,Low,3,EPIC-13,,,Sprint 5,"User can create an Event. AC: POST /api/events, name/date/location/description/cover image"
[LIVE-7] Event RSVP (Going/Maybe/Not Going),Story,Low,2,EPIC-13,,,Sprint 5,"Users RSVP to events. AC: POST /api/events/:id/rsvp, attendee count updated"
